t,x,y,z,vx,vy,vz,grounded,speed,transition,state,clip
0.0000,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0507,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0749,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1085,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1372,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1657,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1911,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2147,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2356,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2548,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2742,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2976,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3615,363.8606,1.0000,284.3462,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3825,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4031,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4249,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4467,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4680,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5173,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5385,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5611,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5835,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6053,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6285,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6794,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7017,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7226,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7425,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7617,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8204,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8458,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8718,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8993,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9242,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9711,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9961,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
1.0272,363.8606,1.0000,284.3839,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.0545,363.8606,1.0000,284.5201,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.0795,363.8606,1.0000,284.6455,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.1264,363.8606,1.0000,284.8799,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.1468,363.8606,1.0000,284.9816,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.1728,363.8606,1.0000,285.1118,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.2113,363.8606,1.0000,285.3043,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.2446,363.8606,1.0000,285.4706,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.2949,363.8606,1.0000,285.7222,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.3214,363.8606,1.0000,285.8551,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.3469,363.8606,1.0000,285.9825,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.3742,363.8606,1.0000,286.1191,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.4003,363.8606,1.0000,286.2494,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.4546,363.8606,1.0000,286.5211,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.4754,363.8606,1.0000,286.6251,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.5017,363.8606,1.0000,286.7562,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.5262,363.8606,1.0000,286.8789,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.5525,363.8606,1.0000,287.0106,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.6028,363.8606,1.0000,287.2621,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.6228,363.8606,1.0000,287.3618,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.6511,363.8606,1.0000,287.5037,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.6798,363.8606,1.0000,287.6472,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.6998,363.8606,1.0000,287.7468,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.7594,363.8606,1.0000,288.0449,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.7861,363.8606,1.0000,288.1784,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
1.8130,363.8606,1.0000,288.3129,0.0000,0.0000,5.0000,True,5.0000,False,229373857,Walk
