t,x,y,z,vx,vy,vz,grounded,speed,transition,state,clip
0.0000,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0231,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0421,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0699,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0970,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1246,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1527,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1797,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2049,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2315,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2550,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2791,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3049,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3317,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3580,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3843,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4118,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4395,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4662,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4926,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5118,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5397,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5670,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5863,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6141,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6335,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6541,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6748,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6966,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7197,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7408,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7640,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7855,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8048,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8330,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8556,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8786,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9000,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9198,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9477,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9668,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9859,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
1.0061,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
1.0320,363.8606,1.0000,284.3465,0.0000,0.0000,0.4400,True,0.4400,False,229373857,Idle
1.0555,363.8606,1.0000,284.3586,0.0000,0.0000,0.8800,True,0.8800,False,229373857,Idle
1.0767,363.8606,1.0000,284.3795,0.0000,0.0000,1.3200,True,1.3200,False,229373857,Walk
1.0973,363.8606,1.0000,284.4093,0.0000,0.0000,1.7600,True,1.7600,False,229373857,Walk
1.1173,363.8606,1.0000,284.4448,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.1454,363.8606,1.0000,284.4953,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.1664,363.8606,1.0000,284.5332,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.1880,363.8606,1.0000,284.5719,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2173,363.8606,1.0000,284.6248,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2385,363.8606,1.0000,284.6628,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2589,363.8606,1.0000,284.6996,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2825,363.8606,1.0000,284.7422,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3040,363.8606,1.0000,284.7809,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3255,363.8606,1.0000,284.8196,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3549,363.8606,1.0000,284.8725,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3741,363.8606,1.0000,284.9070,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3952,363.8606,1.0000,284.9451,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
