t,x,y,z,vx,vy,vz,grounded,speed,transition,state,clip
0.0000,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0230,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0497,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.0769,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1042,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1309,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1571,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.1834,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2100,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2330,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2579,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.2837,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3028,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3311,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3584,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.3867,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4065,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4357,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4550,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4748,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.4948,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5142,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5348,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5539,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5751,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.5963,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6153,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6433,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6715,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.6997,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7268,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7541,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.7810,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8085,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8353,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8632,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.8921,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9185,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9442,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9707,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
0.9978,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
1.0319,363.8606,1.0000,284.3463,0.0000,0.0000,0.0000,True,0.0000,False,229373857,Idle
1.0526,363.8606,1.0000,284.3553,0.0000,0.0000,0.8800,True,0.8800,False,229373857,Idle
1.0797,363.8606,1.0000,284.3823,0.0000,0.0000,1.3200,True,1.3200,False,229373857,Idle
1.1079,363.8606,1.0000,284.4264,0.0000,0.0000,1.7600,True,1.7600,False,229373857,Idle
1.1340,363.8606,1.0000,284.4732,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.1613,363.8606,1.0000,284.5224,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.1894,363.8606,1.0000,284.5730,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2091,363.8606,1.0000,284.6085,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2349,363.8606,1.0000,284.6549,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2635,363.8606,1.0000,284.7064,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.2903,363.8606,1.0000,284.7547,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3111,363.8606,1.0000,284.7921,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3323,363.8606,1.0000,284.8303,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3524,363.8606,1.0000,284.8666,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3719,363.8606,1.0000,284.9017,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.3951,363.8606,1.0000,284.9433,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.4149,363.8606,1.0000,284.9790,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.4434,363.8606,1.0000,285.0303,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.4631,363.8606,1.0000,285.0658,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.4827,363.8606,1.0000,285.1011,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.5102,363.8606,1.0000,285.1507,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.5380,363.8606,1.0000,285.2007,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.5588,363.8606,1.0000,285.2382,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.5780,363.8606,1.0000,285.2727,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.5971,363.8606,1.0000,285.3071,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.6163,363.8606,1.0000,285.3416,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.6445,363.8606,1.0000,285.3925,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.6650,363.8606,1.0000,285.4293,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.6921,363.8606,1.0000,285.4781,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.7115,363.8606,1.0000,285.5131,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.7392,363.8606,1.0000,285.5630,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.7675,363.8606,1.0000,285.6140,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.7948,363.8606,1.0000,285.6631,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.8209,363.8606,1.0000,285.7101,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.8478,363.8606,1.0000,285.7585,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.8742,363.8606,1.0000,285.8061,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.9006,363.8606,1.0000,285.8536,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.9269,363.8606,1.0000,285.9010,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
1.9466,363.8606,1.0000,285.9365,0.0000,0.0000,1.8000,True,1.8000,False,229373857,Walk
